day,rep,dev,hc,co2,co1
1.00,1.00,0.00,8.24,14.40,0.23
1.00,2.00,0.00,20.20,16.27,0.32
1.00,3.00,0.00,12.48,17.11,0.12
1.00,4.00,0.00,20.27,15.53,0.32
2.00,1.00,0.00,7.73,14.52,0.06
2.00,2.00,0.00,13.10,16.45,0.05
2.00,3.00,0.00,12.13,12.84,0.20
2.00,4.00,0.00,10.03,13.84,0.12
3.00,1.00,1.00,4.83,15.29,0.11
3.00,2.00,1.00,4.33,13.46,0.16
3.00,3.00,1.00,7.18,14.10,0.14
3.00,4.00,1.00,5.51,16.55,0.05
4.00,1.00,1.00,3.43,14.05,0.07
4.00,2.00,1.00,9.16,13.84,0.23
4.00,3.00,1.00,4.50,14.10,0.16
4.00,4.00,1.00,7.06,11.92,0.17
5.00,1.00,1.00,10.80,13.67,0.07
5.00,2.00,1.00,10.23,14.80,0.09
5.00,3.00,1.00,7.86,13.64,0.16
5.00,4.00,1.00,5.73,16.38,0.00
6.00,1.00,1.00,17.32,14.18,0.24
6.00,2.00,1.00,23.08,14.23,0.01
6.00,3.00,1.00,7.33,11.14,0.08
6.00,4.00,1.00,5.00,13.96,0.20
7.00,1.00,1.00,21.51,13.89,0.25
7.00,2.00,1.00,24.70,14.42,0.16
7.00,3.00,1.00,29.44,13.11,0.27
7.00,4.00,1.00,27.91,13.59,0.17
8.00,1.00,1.00,7.84,16.13,0.23
8.00,2.00,1.00,4.72,16.32,0.10
8.00,3.00,1.00,2.27,15.84,0.20
8.00,4.00,1.00,2.98,15.52,0.30
9.00,1.00,1.00,18.40,15.39,0.08
9.00,2.00,1.00,13.91,15.55,0.02
9.00,3.00,1.00,13.07,15.84,0.19
9.00,4.00,1.00,7.35,15.34,0.11
10.00,1.00,1.00,0.90,16.38,0.06
10.00,2.00,1.00,2.66,15.28,0.10
10.00,3.00,1.00,0.71,14.69,0.13
10.00,4.00,1.00,0.17,15.31,0.16
11.00,1.00,1.00,15.74,16.46,0.21
11.00,2.00,1.00,9.62,14.79,0.14
11.00,3.00,1.00,13.87,14.71,0.07
11.00,4.00,1.00,11.62,13.47,0.13
12.00,1.00,0.00,18.08,15.28,0.30
12.00,2.00,0.00,11.16,15.07,0.11
12.00,3.00,0.00,10.76,16.90,0.01
12.00,4.00,0.00,5.22,15.19,0.11
13.00,1.00,0.00,13.63,14.98,0.21
13.00,2.00,0.00,14.00,14.21,0.21
13.00,3.00,0.00,14.04,14.14,0.06
13.00,4.00,0.00,12.50,13.62,0.14
